brand,count,examples
"GLYCERIN",2,"GLYCERIN SU 24 ADULT JAR | GLYCERIN SU 50 ADULT JAR"
"SITZ",2,"SITZ BATH | SITZ BATH"
"LUBRIDERM",2,"LUBRIDERM LT 16OZ UNSCENTED | LUBRIDERM LT 6OZ UNSCENTED"
"DESITIN",2,"DESITIN DIAPER RASH OI 40% 113GM | DESITIN CREAMY OI 113GM"
"FREEDOM",2,"FREEDOM CATH CH EXTNL MD | FREEDOM CATH CH EXTNL INTMD"
"DUODERM",2,"DUODERM CGF DS 4X4N 10 XTHN | DUODERM CGF DS 4X4N 5 STR"
"HYDROCORTISONE",2,"HYDROCORTISONE OI 1% 28.4GM | HYDROCORTISONE CR 1% 28GM"
"AZO",2,"AZO CRANBERRY TB 250MG 50 CPLT | AZO URINARY PRLF TB 99.5MG 12 MS"
"CALMOL",2,"CALMOL-4 SU 10-76% 12 | CALMOL-4 SU 10-76% 24"
"LID",2,"LID SCRUB PLUS PD 30 | LID SCRUB PA 30 MOISTURE"
"MOTRIN",2,"MOTRIN INFT DR50MG/1.25ML 30MLBRY | MOTRIN IB TB 200MG 100 CPLT"
"BED",2,"BED BUDDY SINUS PC | BED SUPPORT RAIL"
"DIA",2,"DIA-PAK 5X6.5X2.5N CLASSIC DSHP | DIA-PAK 6.5X8X1N DAYMATE"
"NEUT",2,"NEUT BEACH DEFENSE LT 29ML SPF70 | NEUT BEACH DEFENSE ST 42GM SPF50+"
"SHOWER",2,"SHOWER CHAIR WITH BACK 300LBS | SHOWER CHAIR W/O BACK 300LBS"
"TTS",2,"TTS NICE N CLN HND WPS PA0.13% 20 | TTS WET ONES PA 20 FRESH A/B"
"NEXIUM",2,"NEXIUM 24H CP 20MG 14 | NEXIUM 24H CP 20MG 3X14"
"BLOOD",2,"BLOOD PR CLSC KT MON ADT W/STETH | BLOOD PR MON W/STETH PRIMA EQ CHD"
"PARODONTAX",2,"PARODONTAX PS 0.454% 96.4GM CLMT | PARODONTAX PS 0.454% 96.4GM WHTG"
"SYSTANE",2,"SYSTANE ULTRA DR 25X0.7MLUD OPTH | SYSTANE NTM OI 3-94% 3.5GM PF"
"DENTEMP",2,"DENTEMP RELINE-IT LQ 0.22OZ | DENTEMP REPAIR-IT KIT LQ 0.1OZ"
"FASTEP",2,"FASTEP COVID-19 ANTIGEN HOME KT 2 | FASTEP COVID-19 ANTIGEN HOME KT"
"FERROUS",2,"FERROUS SULF FC TB 325MG100RD MJR | FERROUS SULFATE TB 325MG 100"
"CETAPHIL",2,"CETAPHIL GNTL SKN CLNSR LQ 16OZ | CETAPHIL MOISTURIZING CR 16OZ"
"CHLORHEXIDINE",2,"CHLORHEXIDINE GLUC LQ 4% 118ML | CHLORHEXIDINE GLUC LQ 4% 236ML"
"FLONASE",2,"FLONASE SN 50MCG 11.1ML NSL 72SP | FLONASE SN 50MCG 18.2ML NSL 144SP"
"CARMEX",2,"CARMEX CLICK STICK ST | CARMEX OI 1.7-45.3%10GM TBE SHFPK"
"SUMMERS",2,"SUMMERS EVE DO 2X4.5OZ ISL SPL | SUMMERS EVE DO 2X4.5OZ XCLN V&W"
"TIGER",2,"TIGER BALM CR 113ML ARTH RUB | TIGER MUSCLE RUB CR 15-5-3% 2OZ"
"VASELINE",2,"VASELINE LIP THPY JL 7GM ROSE | VASELINE LIP THPY OI 10GM ADV TBE"
"STYE",2,"STYE OI 31.9-57.7% 3.5GM OPTH | STYE LUB EYE DR 0.6-0.5% 15ML"
"VOLTAREN",2,"VOLTAREN GL 1% 100GM TOP | VOLTAREN GL 1% 50GM TOP"
"ZYRTEC",2,"ZYRTEC D TB 120-5MG 12 12H ER | ZYRTEC TB 10MG 30+10 BNS 24HR"
"PLANTAR",2,"PLANTAR FASCIITIS ORTHOTIC PD WMN | PLANTAR FASCIITIS ORTHOTIC PD MEN"
"THICK",2,"THICK-IT PW 1020GM CONC | THICK-IT PW 284GM CONC"
"BANDAID",2,"BANDAID SENSITIVE SKIN AP 7 XL | BANDAID SENSITIVE SKIN AP 20 ASTD"
"ENSURE",2,"ENSURE LQ 6X237ML CHOC RTU BTL | ENSURE LQ 4X296ML MKCL"
"ADVANCED",2,"ADVANCED EYE RELIEF DR 0.2% 3.5ML | ADVANCED EYE RLF DR 15ML DRY EYE"
"DRIPDROP",2,"DRIPDROP PK 8X10GM BOLD VRTY | DRIPDROP PK 8X10GM JUICY VRTY"
"POLIDENT",2,"POLIDENT DENTURE CLEANSER TB 30 | POLIDENT DENTURE CLEANSER TB 90"
"EPSOM",2,"EPSOM IT SOOTHING NERVE LT 3.5OZ | EPSOM IT SOOTHING MUSCLE LT 3.5OZ"
"TAMPAX",2,"TAMPAX TM 10 REGULAR | TAMPAX TM 10 SUPER"
"AMMONIA",1,"AMMONIA INHALANT AH 15% .33CC 10"
"BATHROOM",1,"BATHROOM SAFETY RAIL EQ"
"ANTI",1,"ANTI-DIARRHEAL TB 2MG 24 CPLT BPK"
"CITRUCEL",1,"CITRUCEL PW 479GM ORANGE SF"
"COCCYX",1,"COCCYX CUSHION MEM FOAM"
"EDGE",1,"EDGE GL 7OZ SSN ALOE"
"EYE",1,"EYE PATCH PD RG BLK"
"MEDITEMP",1,"MEDITEMP HOT/COLD COMPRESS PC"
"TEGADERM",1,"TEGADERM DS 6X8N 10 STR"
"AQUAPHOR",1,"AQUAPHOR HEALING OI 1.75OZ"
"MAGNESIUM",1,"MAGNESIUM OXIDE TB 250MG 100 NM"
"SEA",1,"SEA BOND DENTR ADH AP 15 UPPR"
"BLUE",1,"BLUE MAGIC CD 12OZ"
"FLENTS",1,"FLENTS SIESTA MASK"
"BAZA",1,"BAZA ANTIFUNGAL CR 2% 5OZ"
"CONTI",1,"CONTI CASTILE SOAP BR 3.7OZ LRG"
"FINGER",1,"FINGER SPLINT SB  MEDIUM"
"MOTHERS",1,"MOTHERS FRIEND CREAM 4 OZ"
"WET",1,"WET ONES HND WPS PA0.13% 40"
"ADH",1,"ADH PAD AP 2.875X4N 10 LRG"
"CLUBMAN",1,"CLUBMAN STYPTIC PENCIL 0.25OZ"
"CALCIUM",1,"CALCIUM CITRATE TB 200MG 100"
"DEEP",1,"DEEP SEA SN 0.65% 44ML  NSL"
"DOCTORS",1,"DOCTORS BRUSHPICKS 120"
"EARPLANES",1,"EARPLANES ADULT"
"HALLS",1,"HALLS C/DR LZ 30 MENTHOL"
"MICROPORE",1,"MICROPORE TP 2INX10YD 6 SRG STD"
"SHARPS",1,"SHARPS CTR PHLEB 1QT RED"
"BENADRYL",1,"BENADRYL SX 2% 60ML MS"
"GAUZE",1,"GAUZE SG 4X4N 200 NST 12PL"
"SCARGUARD",1,"SCARGUARD MD LQ 0.5% 15ML"
"TERBINAFINE",1,"TERBINAFINE HCL CR 1% 15GM"
"THERMOP",1,"THERMOP ARTH PD BCK LRG 14X27"
"BALNEOL",1,"BALNEOL CLN LT 89ML"
"APEX",1,"APEX CONTACT LENS CASES"
"COMPACT",1,"COMPACT SHOWER STOOL EQ ADJ"
"COTTON",1,"COTTON ROLL 1LB WHITE NST"
"IODOFORM",1,"IODOFORM PACKING STRIP 1NX5Y"
"OPTI",1,"OPTI-FREE PURE MOIS SL 10OZ W/CS"
"THUMB",1,"THUMB STABILIZER SB RVB O/S LF"
"TOMS",1,"TOMS FLOSS A/PLQ 32Y SMNT"
"STETHOSCOPE",1,"STETHOSCOPE DUAL HEAD EA 22 BLACK"
"IRISH",1,"IRISH SPRING BR 3X3.75OZ ORIGINAL"
"METAMUCIL",1,"METAMUCIL CP 100 G/F"
"CEPACOL",1,"CEPACOL MW 0.05% 710ML A/B"
"POWER",1,"POWER NEBULIZER ULTRA CMPS DSP"
"SELF",1,"SELF STANDING CANE TIP EQ"
"BACK",1,"BACK WRAP PC RUS HT/C"
"UDDERLY",1,"UDDERLY SMOOTH CR8OZ UNS XCARE FF"
"BLINK",1,"BLINK N CLEAN DR 15ML LENS"
"COCONUT",1,"COCONUT OIL CR 2OZ"
"OKEEFFES",1,"OKEEFFES LIP REPAIR ST UNFLAVORED"
"PEPSODENT",1,"PEPSODENT CMPL/CR PS 0.24% 156GM"
"SUNDANCE",1,"SUNDANCE TEA TREE OIL 1 OZ"
"CUTEX",1,"CUTEX PLSH RMVR LQ 6.7OZ MOIS/RCH"
"HEAROS",1,"HEAROS M/P SERIES 2 PR W/CASE"
"CAMPHO",1,"CAMPHO-PHENIQUE GL 10.8-4.7%6.5GM"
"CLARITIN",1,"CLARITIN GC 10MG 30 24H ND LQGL"
"DEBROX",1,"DEBROX KT 6.5% 15ML"
"GUARDIAN",1,"GUARDIAN GLIDE CAP EQ 4 ADULT"
"HYPAFIX",1,"HYPAFIX TP 2NX11Y"
"IODINE",1,"IODINE TN 2% 1OZ MILD"
"KLEENEX",1,"KLEENEX ULTSFT FCL/TIS 360 FLAT"
"KNEE",1,"KNEE SB UN L/XL MOD LF"
